timestamp_s,fps,inference_ms,cpu_pct,ram_pct,gpu_pct,num_detections,model_tier
4.491527080535889,1.4197371788772382,704.3557180004427,2.7,13.7,0.0,0,2
4.782904148101807,2.670923513360842,254.964812000253,8.9,13.7,4.0,0,2
4.824861526489258,29.16221592410126,12.173625000286847,6.0,13.7,4.0,0,2
4.866492986679077,42.80441889525919,11.943003999476787,9.6,13.8,4.0,0,2
4.908006191253662,50.66997468552214,12.175493000540882,6.1,13.8,4.0,0,2
4.949954032897949,56.19859682602385,11.927237999771023,8.0,13.8,4.0,0,2
5.008432388305664,60.12928387296804,11.945517999265576,9.9,13.8,4.0,0,2
5.140334844589233,63.080361644613546,11.94202300030156,1.9,13.8,4.0,0,2
5.276620149612427,65.45614669059506,11.839583999972092,2.5,13.9,4.0,0,2
5.408504962921143,67.33461945348787,11.870721999002853,1.9,13.9,4.0,0,2
5.5441813468933105,75.60821177172983,11.882742001034785,2.5,13.9,4.0,0,2
5.676130533218384,83.64810213335421,11.859440000989707,2.5,13.9,4.0,0,2
5.812493562698364,83.8357357950837,11.90176700038137,2.4,13.9,13.0,0,2
5.947841167449951,83.86112182296624,11.906904001079965,1.9,13.9,13.0,0,2
6.080425977706909,84.03708284669987,11.920115000975784,2.5,13.9,13.0,0,2
6.217649698257446,84.08329529511289,11.861857001349563,2.5,13.9,13.0,0,2
6.348622560501099,84.13342359935612,11.87441299771308,1.9,13.9,13.0,0,2
6.4848878383636475,84.14661576088156,11.923238998861052,1.9,13.9,13.0,0,2
6.616536378860474,84.1204301687853,11.876404001668561,3.1,13.9,13.0,0,2
6.752513647079468,84.0721932822515,11.939086001802934,1.9,13.9,8.0,0,2
6.888168811798096,84.10425486926451,11.837643000035314,2.5,13.9,8.0,0,2
7.020836353302002,84.05241632784966,11.9328000000678,8.2,13.9,8.0,0,2
7.157285451889038,84.01742865418476,11.951535001571756,12.3,13.9,8.0,0,2
7.295865297317505,81.4634670066698,17.110024000430712,11.0,13.9,8.0,0,2
7.424896717071533,81.39273090203349,12.021477999951458,8.9,13.9,8.0,0,2
7.556314468383789,81.39226114728135,11.862518000270939,1.9,13.9,8.0,0,2
7.692270040512085,81.44797631083304,11.796369999501621,2.5,13.9,8.0,0,2
7.828069686889648,81.50233952607368,11.846452001918806,2.5,13.9,9.0,0,2
7.961200714111328,81.5590209687459,11.79699000203982,1.9,13.9,9.0,0,2
8.096659421920776,81.61606319301946,11.858326997753466,3.0,13.9,9.0,0,2
8.22850513458252,81.56321378310115,11.912166999536566,1.9,13.9,9.0,0,2
8.364638328552246,81.63453393101615,11.832102998596383,2.5,13.9,9.0,0,2
8.49642300605774,81.6947020221315,11.866204997204477,2.5,13.9,9.0,0,2
8.633205890655518,84.27005402693648,11.876655000378378,1.8,13.9,9.0,1,2
8.768985509872437,84.35974564059634,11.893242000951432,2.5,13.9,8.0,1,2
8.90065598487854,84.35840417760075,11.864405998494476,3.1,13.9,8.0,1,2
9.03610873222351,84.30895955879802,11.865578002471011,1.9,13.9,8.0,1,2
9.168582916259766,84.31994731671327,11.83105200107093,2.5,13.9,8.0,1,2
9.30508017539978,84.28373466230532,11.847603000205709,2.5,13.9,8.0,1,2
9.436473608016968,84.27973286104506,11.863956999150105,1.9,13.9,8.0,1,2
9.572574138641357,84.29712473627013,11.88753899987205,3.0,13.9,8.0,1,2
9.707995653152466,84.28626787969071,11.847322002722649,1.8,13.9,8.0,1,2
